city,country,lat,lng,population
Toronto,Canada,43.70643,-79.39864,2794356
Montréal,Canada,45.50884,-73.58781,1762949
Calgary,Canada,51.05011,-114.08529,1306784
Ottawa,Canada,45.41117,-75.69812,1017449
Edmonton,Canada,53.55014,-113.46871,1010899
Winnipeg,Canada,49.8844,-97.14704,749607
Mississauga,Canada,43.5789,-79.6583,717961
Vancouver,Canada,49.24966,-123.11934,662248
Brampton,Canada,43.68341,-79.76633,656480
Hamilton,Canada,43.25011,-79.84963,569353
Surrey,Canada,49.10635,-122.82509,568322
Québec,Canada,46.81228,-71.21454,531902
Paris,France,48.85341,2.3488,2138551
Marseille,France,43.29695,5.38107,877215
Lyon,France,45.74906,4.84789,520774
Toulouse,France,43.60426,1.44367,511684
Berlin,Germany,52.52437,13.41053,3426354
Hamburg,Germany,53.55073,9.99302,1973896
Munich,Germany,48.13743,11.57549,1505005
Köln,Germany,50.93333,6.95,1024621
Frankfurt am Main,Germany,50.11552,8.68417,650000
Düsseldorf,Germany,51.22319,6.77927,618685
Stuttgart,Germany,48.78232,9.17702,612663
Essen,Germany,51.45657,7.01228,593085
Dortmund,Germany,51.51494,7.466,588462
Dresden,Germany,51.05089,13.73832,564904
Bremen,Germany,53.07582,8.80717,546501
Nuremberg,Germany,49.45421,11.07752,515543
Hannover,Germany,52.37052,9.73322,515140
Leipzig,Germany,51.33962,12.37129,504971
Duisburg,Germany,51.43247,6.76516,504358
Rome,Italy,41.89193,12.51133,2318895
Milan,Italy,45.46427,9.18951,1371498
Naples,Italy,40.85216,14.26811,909048
Turin,Italy,45.07049,7.68682,847287
Palermo,Italy,38.1166,13.3636,648260
Genoa,Italy,44.40478,8.94439,580097
Madrid,Spain,40.4165,-3.70256,3255944
Barcelona,Spain,41.38879,2.15899,1686208
Valencia,Spain,39.47391,-0.37966,824340
Zaragoza,Spain,41.65606,-0.87734,686986
Sevilla,Spain,37.38283,-5.97317,686741
Málaga,Spain,36.72016,-4.42034,592346
London,United Kingdom,51.50853,-0.12574,8961989
Birmingham,United Kingdom,52.48142,-1.89983,1157603
Glasgow,United Kingdom,55.86515,-4.25763,626410
Manchester,United Kingdom,53.48095,-2.23743,568996
Sheffield,United Kingdom,53.38297,-1.4659,556500
Leeds,United Kingdom,53.79648,-1.54785,536280
Edinburgh,United Kingdom,55.95206,-3.19648,514990
