name,address,city,country,lat,lng,rating,review_count,website,phone,highly_rated
DCS - Diaz Combat Sports,"276 E Pender St, Vancouver, BC V6A 1T7, Canada",Vancouver,Canada,49.2800881,-123.09794409999999,5.0,1275,http://www.diazcombatsports.com/,+1 604-979-0709,True
Nordik Fight Club - Evolution Jiu Jitsu,"909 Bd Charest O #1/2, Québec, QC G1N 3N8, Canada",Québec,Canada,46.801617,-71.248077,5.0,650,http://www.nordikfightclub.com/,+1 418-717-0774,True
Elite Martial Arts Academy,"4750 106 Ave SE, Calgary, AB T2C 3G5, Canada",Calgary,Canada,50.9582456,-113.9674095,5.0,525,https://calgarymartialarts.com/?utm_source=google&utm_medium=GBPShepard,+1 587-225-0337,True
Gracie Barra Roundhay Leeds BJJ,"139 Street Ln, Roundhay, Leeds LS8 1AA, UK",Leeds,United Kingdom,53.844504900000004,-1.5174283,5.0,466,http://www.graciebarraroundhay.co.uk/,+44 7727 164394,True
Brazilian Jiu Jitsu,"Hiltenspergerstraße 9, 80798 München-Maxvorstadt, Germany",Munich,Germany,48.1560115,11.565566299999999,5.0,458,http://hutton-academy.com/,+49 15560 292365,True
Thrive Academy,"181 Stradbrook Ave, Winnipeg, MB R3L 0J4, Canada",Winnipeg,Canada,49.882126,-97.134242,5.0,442,https://www.thriveacademy.ca/,+1 204-474-0999,True
Red Lion Sports Academy South,"Großenbaumer Allee 21, 47269 Duisburg Süd, Germany",Duisburg,Germany,51.366565699999995,6.778315999999999,5.0,431,http://www.redliongym.de/,+49 163 4690795,True
Scramble Academy Leeds,"Unit 8, 280 Tong Rd, Leeds LS12 3BG, UK",Leeds,United Kingdom,53.793502,-1.596596,5.0,430,http://www.scrambleacademyleeds.com/,+44 7880 511684,True
DRACO FIGHT CLUB,"C. Vía Apia, 44, 41089 Montequinto, Sevilla, Spain",Sevilla,Spain,37.3465838,-5.938734999999999,5.0,428,https://dracofightclub.es/,+34 667 72 03 80,True
Brave MMA and Fitness,"10023 168 St NW, Edmonton, AB T5P 3W9, Canada",Edmonton,Canada,53.5398991,-113.61061009999999,5.0,400,https://bravemmaandfitness.com/?y_source=1_MTAyMzQxMjIzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,+1 780-660-1089,True
Kickboxer-Dortmund,"Lissaboner Allee 15, 44269 Dortmund-Aplerbeck, Germany",Dortmund,Germany,51.4991753,7.523180900000001,5.0,335,http://kickboxer-dortmund.de/,+49 1515 9870999,True
House of Champions Kickboxing and Fitness,"459 Barton St, Stoney Creek, ON L8E 2L7, Canada",Hamilton,Canada,43.2265215,-79.7148311,5.0,313,https://houseofchampionsmma.com/,+1 905-930-8777,True
Club Deportivo Crossfight,"C. Virgen de Fátima, 12, 41010 Sevilla, Spain",Sevilla,Spain,37.3781367,-6.0045015,5.0,308,https://www.facebook.com/CD-Crossfight-363113817229961/?fref=ts,+34 954 45 87 06,True
Brazilian Jiu Jitsu Dachau,"Dieselstraße 15, 85232 Bergkirchen, Germany",Munich,Germany,48.251683,11.391077,5.0,293,https://bjj-dachau.de/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+49 178 5798259,True
